epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.629,2.56672,6.49245,1.57881,0,0,0,0,1.80571,6.25918,1.14388,0.0013,0.0013,0.0883
2,248.094,1.97761,6.43325,1.25046,0,0,0,0,1.63213,6.26002,1.09335,0.00264654,0.00264654,0.0756465
3,355.138,1.84562,6.33678,1.16494,0,0,0,0,1.63634,6.23693,1.09208,0.00393764,0.00393764,0.0629376
4,451.599,1.76705,6.21662,1.10535,0.00236,0.00196,0.00191,0.00095,1.56965,6.15899,1.04784,0.0051733,0.0051733,0.0501733
5,554.877,1.7906,6.14821,1.09306,0.00316,0.00221,0.00237,0.00124,1.63941,6.14263,1.08368,0.00635352,0.00635352,0.0373535
6,654.925,1.80157,6.0518,1.08945,0.00157,0.00567,0.00268,0.00153,1.63265,6.09087,1.08374,0.0074783,0.0074783,0.0244783
7,741.15,1.78337,6.02262,1.06802,0.00238,0.00413,0.00208,0.00108,1.55576,6.00468,1.05533,0.00854764,0.00854764,0.0115476
8,830.516,1.75186,5.92779,1.06711,0.00829,0.01021,0.00683,0.00403,1.65398,5.85104,1.0904,0.008614,0.008614,0.008614
9,910.526,1.76233,5.85177,1.05437,0.004,0.01832,0.00624,0.00348,1.68455,5.69147,1.0894,0.008416,0.008416,0.008416
10,999.515,1.73214,5.77583,1.04194,0.00532,0.0342,0.00917,0.00552,1.56498,5.55485,1.07808,0.008218,0.008218,0.008218
11,1090.07,1.76425,5.71577,1.04753,0.00769,0.0411,0.01007,0.00639,1.55892,5.43833,1.06267,0.00802,0.00802,0.00802
12,1185.05,1.76408,5.5824,1.04762,0.00893,0.04894,0.01385,0.00858,1.54551,5.3566,1.05945,0.007822,0.007822,0.007822
13,1265.74,1.69815,5.43952,1.04424,0.00991,0.05673,0.01568,0.00883,1.63805,5.31397,1.07162,0.007624,0.007624,0.007624
14,1347.6,1.71179,5.2875,1.03455,0.00959,0.06226,0.01553,0.00902,1.53546,5.22376,1.04672,0.007426,0.007426,0.007426
15,1429.36,1.69997,5.17555,1.03693,0.03625,0.06483,0.01783,0.00999,1.51635,5.02964,1.03772,0.007228,0.007228,0.007228
16,1513.04,1.71501,5.0642,1.03091,0.01837,0.07759,0.02003,0.01225,1.50977,4.93989,1.04221,0.00703,0.00703,0.00703
17,1597.18,1.70726,4.955,1.05431,0.0858,0.04992,0.02076,0.01148,1.64846,4.79915,1.07441,0.006832,0.006832,0.006832
18,1676.02,1.71782,4.75627,1.03093,0.07801,0.05318,0.0239,0.01403,1.54179,4.81778,1.05175,0.006634,0.006634,0.006634
19,1753.39,1.73378,4.65116,1.03532,0.12509,0.04175,0.02519,0.01514,1.52343,4.6418,1.04237,0.006436,0.006436,0.006436
